run_name,model,widths,blocks_per_stage,activation,optimizer,lr,weight_decay,loss,seed,parameters,total_train_seconds,best_val_accuracy,test_accuracy,test_error,summary_path,model_path,history_path
conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,conv_stem_mixer,"48,96,192",2,relu,adamw,0.001,0.0001,cross_entropy,2020,481482,118.57293710112572,0.8598,0.8528,0.1472,reports/results/conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020,conv_stem_mixer,"48,96,192",2,relu,adamw,0.001,0.0005,label_smoothing,2020,481482,122.9392417119816,0.8548,0.8559,0.1441,reports/results/conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.json,reports/models/conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.pth,reports/results/conv_stem_mixer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.csv
conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,conv_token_transformer,"48,96,192",2,relu,adamw,0.001,0.0001,cross_entropy,2020,777706,134.32671503629535,0.857,0.8493,0.15069999999999995,reports/results/conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020,conv_token_transformer,"48,96,192",2,relu,adamw,0.001,0.0005,label_smoothing,2020,777706,140.8403704063967,0.863,0.8569,0.1431,reports/results/conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.json,reports/models/conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.pth,reports/results/conv_token_transformer_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.csv
plaincnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,plaincnn,"48,96,192",2,relu,adamw,0.001,0.0001,cross_entropy,2020,647386,106.72806760203093,0.8934,0.8975,0.10250000000000004,reports/results/plaincnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/plaincnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/plaincnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-24-48-96_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"24,48,96",2,relu,adamw,0.001,0.0001,cross_entropy,2020,392674,100.00107685569674,0.8998,0.894,0.10599999999999998,reports/results/rescnn_w-24-48-96_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-24-48-96_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-24-48-96_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"32,64,128",2,relu,adamw,0.001,0.0001,cross_entropy,2020,696618,102.60742575861514,0.9034,0.9014,0.09860000000000002,reports/results/rescnn_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-2_act-elu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"48,96,192",2,elu,adamw,0.001,0.0001,cross_entropy,2020,1564090,143.27472923509777,0.9106,0.9022,0.0978,reports/results/rescnn_w-48-96-192_b-2_act-elu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-elu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-elu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-2_act-leaky_relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"48,96,192",2,leaky_relu,adamw,0.001,0.0001,cross_entropy,2020,1564090,145.1124580865726,0.9106,0.9096,0.09040000000000004,reports/results/rescnn_w-48-96-192_b-2_act-leaky_relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-leaky_relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-leaky_relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"48,96,192",2,relu,adamw,0.001,0.0001,cross_entropy,2020,1564090,145.4110599923879,0.9184,0.9116,0.08840000000000003,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-focal_seed-2020,rescnn,"48,96,192",2,relu,adamw,0.001,0.0001,focal,2020,1564090,160.9220529133454,0.9166,0.9067,0.09330000000000005,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-focal_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-focal_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-focal_seed-2020.csv
rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-label_smoothing_seed-2020,rescnn,"48,96,192",2,relu,adamw,0.001,0.0001,label_smoothing,2020,1564090,147.10666215140373,0.9238,0.9201,0.07989999999999997,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-label_smoothing_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-label_smoothing_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-label_smoothing_seed-2020.csv
rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-cross_entropy_seed-2020,rescnn,"48,96,192",2,relu,adamw,0.001,0.0005,cross_entropy,2020,1564090,144.66079582367092,0.9204,0.9141,0.08589999999999998,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-2_act-relu_opt-rmsprop_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"48,96,192",2,relu,rmsprop,0.001,0.0001,cross_entropy,2020,1564090,148.10335165727884,0.9046,0.897,0.10299999999999998,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-rmsprop_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-relu_opt-rmsprop_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-rmsprop_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-2_act-relu_opt-sgd_lr-0.1_wd-0.0005_loss-cross_entropy_seed-2020,rescnn,"48,96,192",2,relu,sgd,0.1,0.0005,cross_entropy,2020,1564090,143.37825164664537,0.932,0.925,0.07499999999999996,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-sgd_lr-0.1_wd-0.0005_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-2_act-relu_opt-sgd_lr-0.1_wd-0.0005_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-2_act-relu_opt-sgd_lr-0.1_wd-0.0005_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,rescnn,"48,96,192",3,relu,adamw,0.001,0.0001,cross_entropy,2020,2436346,198.7414826285094,0.9266,0.9177,0.08230000000000004,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020,rescnn,"48,96,192",3,relu,adamw,0.001,0.0005,label_smoothing,2020,2436346,547.3573457496241,0.9308,0.9269,0.07310000000000005,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.json,reports/models/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.pth,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2020.csv
rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2021,rescnn,"48,96,192",3,relu,adamw,0.001,0.0005,label_smoothing,2021,2436346,532.2272059228271,0.941,0.9281,0.07189999999999996,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2021.json,reports/models/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2021.pth,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2021.csv
rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2022,rescnn,"48,96,192",3,relu,adamw,0.001,0.0005,label_smoothing,2022,2436346,534.954962075688,0.9326,0.9284,0.0716,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2022.json,reports/models/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2022.pth,reports/results/rescnn_w-48-96-192_b-3_act-relu_opt-adamw_lr-0.001_wd-0.0005_loss-label_smoothing_seed-2022.csv
vgg_dropout_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,vgg_dropout,"32,64,128",2,relu,adamw,0.001,0.0001,cross_entropy,2020,9750922,116.62659811228514,0.8492,0.8444,0.15559999999999996,reports/results/vgg_dropout_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/vgg_dropout_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/vgg_dropout_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
vgg_light_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020,vgg_light,"32,64,128",2,relu,adamw,0.001,0.0001,cross_entropy,2020,285162,107.61913744080812,0.7542,0.7574,0.24260000000000004,reports/results/vgg_light_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.json,reports/models/vgg_light_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.pth,reports/results/vgg_light_w-32-64-128_b-2_act-relu_opt-adamw_lr-0.001_wd-0.0001_loss-cross_entropy_seed-2020.csv
