epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.002,1.9781178425682915,0.21935555555555555,0.7806444444444445,1.6282238134384155,0.3516,0.6484,2.263632101006806
2,0.002,1.4788860474904377,0.43993333333333334,0.5600666666666667,1.3029703784942628,0.5152,0.4848,2.2700937362387776
3,0.002,1.1690470040639243,0.5792888888888889,0.42071111111111115,1.0591280742645264,0.6258,0.3742,2.3252387465909123
4,0.002,0.9749516426934136,0.6535555555555556,0.34644444444444444,0.9944668951034545,0.6418,0.35819999999999996,2.3143366808071733
5,0.002,0.8364618608474731,0.7068888888888889,0.2931111111111111,0.7141599948883056,0.749,0.251,2.32143890671432
6,0.002,0.7361151833852132,0.7464444444444445,0.25355555555555553,0.6857436502456665,0.768,0.23199999999999998,2.2957467222586274
7,0.002,0.6602452269501157,0.7758222222222222,0.2241777777777778,0.6529919431209564,0.7782,0.2218,2.2815578933805227
8,0.002,0.6001628887176513,0.7960888888888888,0.20391111111111115,0.6239686427593231,0.7928,0.20720000000000005,2.336923338472843
9,0.002,0.5510972619904412,0.8114444444444444,0.1885555555555556,0.5661358029842377,0.8098,0.19020000000000004,2.289497561752796
10,0.002,0.5102719331635369,0.8297111111111111,0.17028888888888893,0.6011898904800415,0.804,0.19599999999999995,2.3221743246540427
11,0.002,0.4719989064322578,0.8408666666666667,0.15913333333333335,0.4751837957382202,0.838,0.16200000000000003,2.2825810899958014
12,0.002,0.43432345559861923,0.8523111111111111,0.14768888888888887,0.49816405687332155,0.8348,0.1652,2.2353807343170047
13,0.002,0.40451765481101143,0.8618666666666667,0.13813333333333333,0.5189606209278107,0.8304,0.16959999999999997,2.440583755262196
14,0.002,0.385303758430481,0.8702666666666666,0.12973333333333337,0.4526877010822296,0.8476,0.15239999999999998,2.505525573156774
15,0.002,0.35727558312416074,0.879,0.121,0.4674311453819275,0.855,0.14500000000000002,2.337773557752371
16,0.002,0.3350469571378496,0.8878888888888888,0.11211111111111116,0.4512665300369263,0.8544,0.14559999999999995,2.315098190680146
17,0.002,0.3118999220000373,0.8937555555555555,0.10624444444444447,0.444012202835083,0.8528,0.1472,2.3202083483338356
18,0.002,0.292093584590488,0.9008444444444444,0.09915555555555555,0.4526405993461609,0.8612,0.13880000000000003,2.269757242873311
19,0.002,0.27736551974084644,0.9058222222222222,0.0941777777777778,0.4160067440032959,0.8656,0.13439999999999996,2.2313731014728546
20,0.002,0.26288041471905177,0.9124,0.08760000000000001,0.4245429219245911,0.864,0.136,2.3411123510450125
